=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.04 14:19:00 =~=~=~=~=~=~=~=~=~=~=~=
Millis: 350250, Voltage 1: 2.38V, Voltage 2: 0.94V
Millis: 350318, Voltage 1: 2.21V, Voltage 2: 0.93V
Millis: 350376, Voltage 1: 2.34V, Voltage 2: 1.00V
Millis: 350457, Voltage 1: 2.23V, Voltage 2: 0.93V
Millis: 350507, Voltage 1: 2.30V, Voltage 2: 0.94V
Millis: 350607, Voltage 1: 2.64V, Voltage 2: 0.95V
Millis: 350668, Voltage 1: 2.36V, Voltage 2: 0.98V
Millis: 350727, Voltage 1: 2.52V, Voltage 2: 0.96V
Millis: 350804, Voltage 1: 2.38V, Voltage 2: 0.95V
Millis: 350867, Voltage 1: 2.19V, Voltage 2: 0.96V
Millis: 350952, Voltage 1: 2.24V, Voltage 2: 0.97V
Millis: 351013, Voltage 1: 2.31V, Voltage 2: 0.96V
Millis: 351079, Voltage 1: 2.36V, Voltage 2: 0.94V
Millis: 351147, Voltage 1: 2.28V, Voltage 2: 0.99V
Millis: 351197, Voltage 1: 1.66V, Voltage 2: 0.94V
Millis: 351257, Voltage 1: 2.49V, Voltage 2: 0.95V
Millis: 351317, Voltage 1: 2.42V, Voltage 2: 0.95V
Millis: 351378, Voltage 1: 2.55V, Voltage 2: 0.96V
Millis: 351452, Voltage 1: 2.30V, Voltage 2: 0.95V
Millis: 351520, Voltage 1: 2.49V, Voltage 2: 0.95V
Millis: 351588, Voltage 1: 2.29V, Voltage 2: 0.95V
Millis: 351660, Voltage 1: 2.32V, Voltage 2: 0.94V
Millis: 351732, Voltage 1: 2.12V, Voltage 2: 0.94V
Millis: 351811, Voltage 1: 2.66V, Voltage 2: 0.93V
Millis: 351883, Voltage 1: 2.35V, Voltage 2: 0.95V
Millis: 351958, Voltage 1: 2.35V, Voltage 2: 0.96V
Millis: 352037, Voltage 1: 2.41V, Voltage 2: 0.95V
Millis: 352103, Voltage 1: 2.26V, Voltage 2: 0.94V
Millis: 352191, Voltage 1: 2.23V, Voltage 2: 0.94V
Millis: 352249, Voltage 1: 2.34V, Voltage 2: 0.95V
Millis: 352310, Voltage 1: 2.32V, Voltage 2: 0.95V
Millis: 352394, Voltage 1: 2.15V, Voltage 2: 0.95V
Millis: 352446, Voltage 1: 3.67V, Voltage 2: 0.93V
Millis: 352520, Voltage 1: 2.19V, Voltage 2: 1.00V
Millis: 352597, Voltage 1: 2.49V, Voltage 2: 0.97V
Millis: 352651, Voltage 1: 2.69V, Voltage 2: 0.97V
Millis: 352731, Voltage 1: 2.39V, Voltage 2: 0.95V
Millis: 352811, Voltage 1: 2.37V, Voltage 2: 0.96V
Millis: 352879, Voltage 1: 2.54V, Voltage 2: 0.97V
Millis: 352946, Voltage 1: 2.64V, Voltage 2: 0.97V
Millis: 353007, Voltage 1: 2.44V, Voltage 2: 0.96V
Millis: 353067, Voltage 1: 2.34V, Voltage 2: 1.04V
Millis: 353144, Voltage 1: 2.29V, Voltage 2: 0.96V
Millis: 353208, Voltage 1: 2.41V, Voltage 2: 0.97V
Millis: 353281, Voltage 1: 2.56V, Voltage 2: 0.97V
Millis: 353363, Voltage 1: 2.29V, Voltage 2: 0.95V
Millis: 353419, Voltage 1: 2.19V, Voltage 2: 0.93V
Millis: 353476, Voltage 1: 2.30V, Voltage 2: 0.94V
Millis: 353558, Voltage 1: 2.25V, Voltage 2: 0.95V
Millis: 353626, Voltage 1: 2.09V, Voltage 2: 0.93V
Millis: 353723, Voltage 1: 2.15V, Voltage 2: 0.94V
Millis: 353791, Voltage 1: 2.22V, Voltage 2: 0.96V
Millis: 353859, Voltage 1: 2.52V, Voltage 2: 0.96V
Millis: 353936, Voltage 1: 2.47V, Voltage 2: 0.96V
Millis: 354001, Voltage 1: 2.32V, Voltage 2: 0.95V
Millis: 354078, Voltage 1: 2.26V, Voltage 2: 0.96V
Millis: 354154, Voltage 1: 2.29V, Voltage 2: 0.95V
Millis: 354216, Voltage 1: 2.51V, Voltage 2: 0.94V
Millis: 354302, Voltage 1: 2.29V, Voltage 2: 0.95V
Millis: 354379, Voltage 1: 1.86V, Voltage 2: 0.94V
Millis: 354447, Voltage 1: 2.42V, Voltage 2: 1.01V
Millis: 354536, Voltage 1: 2.73V, Voltage 2: 0.97V
Millis: 354594, Voltage 1: 2.34V, Voltage 2: 0.95V
Millis: 354672, Voltage 1: 2.32V, Voltage 2: 0.94V
Millis: 354750, Voltage 1: 2.22V, Voltage 2: 0.94V
Millis: 354809, Voltage 1: 2.38V, Voltage 2: 0.95V
Millis: 354872, Voltage 1: 2.00V, Voltage 2: 0.99V
Millis: 354953, Voltage 1: 2.32V, Voltage 2: 0.93V
Millis: 355021, Voltage 1: 2.31V, Voltage 2: 0.94V
Millis: 355092, Voltage 1: 2.29V, Voltage 2: 0.96V
Millis: 355167, Voltage 1: 2.55V, Voltage 2: 0.95V
Millis: 355221, Voltage 1: 2.18V, Voltage 2: 0.94V
Millis: 355305, Voltage 1: 2.31V, Voltage 2: 0.94V
Millis: 355372, Voltage 1: 2.27V, Voltage 2: 0.96V
Millis: 355437, Voltage 1: 2.37V, Voltage 2: 0.95V
Millis: 355507, Voltage 1: 2.29V, Voltage 2: 0.99V
Millis: 355557, Voltage 1: 1.87V, Voltage 2: 0.97V
Millis: 355626, Voltage 1: 2.52V, Voltage 2: 0.95V
Millis: 355694, Voltage 1: 2.56V, Voltage 2: 0.97V
Millis: 355760, Voltage 1: 2.66V, Voltage 2: 0.95V
Millis: 355840, Voltage 1: 2.33V, Voltage 2: 0.95V
