=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.04 14:23:28 =~=~=~=~=~=~=~=~=~=~=~=
Millis: 36794, Voltage 1: 2.26V, Voltage 2: 1.22V
Millis: 36844, Voltage 1: 2.29V, Voltage 2: 1.23V
Millis: 36901, Voltage 1: 2.45V, Voltage 2: 1.22V
Millis: 36961, Voltage 1: 2.17V, Voltage 2: 1.24V
Millis: 37002, Voltage 1: 2.35V, Voltage 2: 1.24V
Millis: 37053, Voltage 1: 2.23V, Voltage 2: 1.26V
Millis: 37091, Voltage 1: 2.47V, Voltage 2: 1.25V
Millis: 37138, Voltage 1: 2.67V, Voltage 2: 1.42V
Millis: 37191, Voltage 1: 2.10V, Voltage 2: 1.21V
Millis: 37235, Voltage 1: 2.35V, Voltage 2: 1.23V
Millis: 37303, Voltage 1: 2.55V, Voltage 2: 1.27V
Millis: 37353, Voltage 1: 2.63V, Voltage 2: 1.26V
Millis: 37403, Voltage 1: 2.36V, Voltage 2: 1.23V
Millis: 37453, Voltage 1: 2.21V, Voltage 2: 1.24V
Millis: 37491, Voltage 1: 2.50V, Voltage 2: 1.25V
Millis: 37573, Voltage 1: 2.52V, Voltage 2: 1.26V
Millis: 37615, Voltage 1: 2.58V, Voltage 2: 1.27V
Millis: 37666, Voltage 1: 2.45V, Voltage 2: 1.27V
Millis: 37711, Voltage 1: 2.46V, Voltage 2: 1.25V
Millis: 37753, Voltage 1: 2.44V, Voltage 2: 1.24V
Millis: 37801, Voltage 1: 3.72V, Voltage 2: 1.35V
Millis: 37853, Voltage 1: 2.31V, Voltage 2: 1.28V
Millis: 37901, Voltage 1: 2.67V, Voltage 2: 1.29V
Millis: 37944, Voltage 1: 2.65V, Voltage 2: 1.30V
Millis: 37982, Voltage 1: 2.81V, Voltage 2: 1.34V
Millis: 38031, Voltage 1: 2.88V, Voltage 2: 1.31V
Millis: 38073, Voltage 1: 2.67V, Voltage 2: 1.29V
Millis: 38112, Voltage 1: 2.65V, Voltage 2: 1.28V
Millis: 38154, Voltage 1: 2.65V, Voltage 2: 1.29V
Millis: 38201, Voltage 1: 2.54V, Voltage 2: 1.26V
Millis: 38251, Voltage 1: 2.49V, Voltage 2: 1.27V
Millis: 38291, Voltage 1: 2.47V, Voltage 2: 1.26V
Millis: 38336, Voltage 1: 2.60V, Voltage 2: 1.29V
Millis: 38384, Voltage 1: 2.39V, Voltage 2: 1.25V
Millis: 38432, Voltage 1: 2.47V, Voltage 2: 1.29V
Millis: 38473, Voltage 1: 4.18V, Voltage 2: 1.30V
Millis: 38521, Voltage 1: 2.59V, Voltage 2: 1.26V
Millis: 38561, Voltage 1: 2.55V, Voltage 2: 1.27V
Millis: 38601, Voltage 1: 2.68V, Voltage 2: 1.30V
Millis: 38645, Voltage 1: 2.81V, Voltage 2: 1.32V
Millis: 38712, Voltage 1: 2.88V, Voltage 2: 1.27V
Millis: 38752, Voltage 1: 2.65V, Voltage 2: 1.28V
Millis: 38791, Voltage 1: 2.79V, Voltage 2: 1.30V
Millis: 38843, Voltage 1: 2.54V, Voltage 2: 1.26V
Millis: 38902, Voltage 1: 2.32V, Voltage 2: 1.23V
Millis: 38943, Voltage 1: 2.28V, Voltage 2: 1.22V
Millis: 38983, Voltage 1: 2.36V, Voltage 2: 1.24V
Millis: 39022, Voltage 1: 2.39V, Voltage 2: 1.24V
Millis: 39061, Voltage 1: 2.42V, Voltage 2: 1.25V
Millis: 39113, Voltage 1: 2.45V, Voltage 2: 1.40V
Millis: 39162, Voltage 1: 2.83V, Voltage 2: 1.24V
Millis: 39211, Voltage 1: 2.62V, Voltage 2: 1.28V
Millis: 39263, Voltage 1: 2.69V, Voltage 2: 1.29V
Millis: 39313, Voltage 1: 2.89V, Voltage 2: 1.33V
Millis: 39358, Voltage 1: 2.86V, Voltage 2: 1.30V
